Sample	Group
SRR15566613	2225
SRR15566614	2225
SRR15566615	2225
SRR15566616	2226
SRR15566617	2226
SRR15566618	2226
SRR15647684	2227
SRR15647683	2227
SRR15647682	2227
SRR15647681	2228
SRR15647680	2228
SRR15647679	2228
SRR15724922	2229
SRR15724923	2229
SRR15724924	2230
SRR15724925	2230
SRR15988332	2231
SRR15988331	2232
SRR15988330	2233
SRR15988329	2234
SRR16328456	2235
SRR16328457	2235
SRR16328458	2235
SRR16328459	2236
SRR16328460	2236
SRR16574977	2237
SRR16574976	2237
SRR16574975	2238
SRR16574974	2238
SRR16574973	2237
SRR16574972	2239
SRR16574971	2239
SRR16574970	2239
SRR16574969	2240
SRR16574968	2240
SRR16574967	2240
SRR16574966	2238
SRR2976660	2244
SRR2976664	2247
SRR2976665	2248
SRR16992553	2250
SRR16992552	2250
SRR16992550	2251
SRR16992549	2251
SRR16992548	2251
SRR16992551	2252
SRR16992547	2252
SRR16992546	2252
SRR16992538	2251
SRR17130560	2252
SRR17130559	2252
SRR17130558	2253
SRR17130557	2253
SRR17130556	2254
SRR17130555	2254
SRR17130554	2254
SRR17130553	2255
SRR17130552	2255
SRR17130551	2255
SRR17130550	2256
SRR17130549	2256
SRR17130548	2252
SRR17130547	2256
SRR17130546	2257
SRR17130545	2257
SRR17130544	2257
SRR17130543	2258
SRR17130542	2258
SRR17130541	2259
SRR17130540	2260
SRR17130539	2260
SRR17130538	2260
SRR17130537	2253
SRR17167543	2261
SRR17167549	2267
SRR17167550	2268
SRR17167551	2269
SRR17167552	2270
SRR17167553	2271
SRR17167554	2272
SRR17167555	2273
SRR17167556	2274
SRR17167557	2275
SRR17167559	2277
SRR17227596	2278
SRR17227595	2278
SRR17227594	2279
SRR17227593	2279
SRR17227592	2280
SRR17227591	2280
SRR17227590	2281
SRR17227589	2281
SRR17227588	2282
SRR17227587	2282
SRR17227586	2283
SRR17227585	2283
SRR17227584	2284
SRR17227583	2284
SRR17227582	2285
SRR17227581	2285
SRR2776870	211
SRR2776871	211
SRR2776872	210
SRR2776873	210
SRR17578859	2288
SRR17578858	2288
SRR17578857	2288
SRR17578855	2288
SRR17578854	2288
SRR17658680	2289
SRR17658679	2289
SRR17658678	2289
SRR17658677	2290
SRR17658676	2290
SRR17658675	2290
SRR17717774	2291
SRR17717773	2291
SRR17717772	2292
SRR17717771	2292
SRR17717770	2293
SRR17717769	2293
SRR17717768	2294
SRR17717767	2294
SRR17717766	2295
SRR17717765	2295
